"Archive","Entry","Symbols","ArchiveSHA256"
"E:\Java\MinecraftMod\DarkGrey_RPG\run\client\darkgrey_rpg_story_packages\kill_slimes.dgrs","resources/canonical/stories/x477265794861745f/x746573745f73746f7279.json","interact_actor,repeat_policy,trigger_properties,triggers","2D18468E5ED257E0C711741BD1A7B6449AE7071FB4AC8A4F7DDB322DE6AC0D4F"
"E:\Java\MinecraftMod\DarkGrey_RPG\run\client\darkgrey_rpg_story_packages\kill_slimes.dgrs","resources/canonical/tasks/x477265794861745f/x4b696c6c536c696d6573.json","interact_actor","2D18468E5ED257E0C711741BD1A7B6449AE7071FB4AC8A4F7DDB322DE6AC0D4F"
"E:\Java\MinecraftMod\DarkGrey_RPG\PLAN\0.3.2.4\evidence\kill_slimes-description-corrected.dgrs","resources/canonical/stories/x477265794861745f/x746573745f73746f7279.json","interact_actor,repeat_policy,trigger_properties,triggers","2D18468E5ED257E0C711741BD1A7B6449AE7071FB4AC8A4F7DDB322DE6AC0D4F"
"E:\Java\MinecraftMod\DarkGrey_RPG\PLAN\0.3.2.4\evidence\kill_slimes-description-corrected.dgrs","resources/canonical/tasks/x477265794861745f/x4b696c6c536c696d6573.json","interact_actor","2D18468E5ED257E0C711741BD1A7B6449AE7071FB4AC8A4F7DDB322DE6AC0D4F"
"E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.0\fixtures\legacy-dgrs\kill_slimes.dgrs","resources/canonical/stories/kill_slimes.json","interact_actor,repeat_policy,trigger_properties,triggers","9D8DA59B83CA61F47E9CB98B2C969F053EB3EBDF80D764AB9C5A542AA64089EC"
"E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.0\fixtures\legacy-dgrs\kill_slimes.dgrs","resources/canonical/tasks/kill_slimes.json","interact_actor","9D8DA59B83CA61F47E9CB98B2C969F053EB3EBDF80D764AB9C5A542AA64089EC"
"E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.0\fixtures\objective0324\kill_slimes-description-corrected.dgrs","resources/canonical/stories/x477265794861745f/x746573745f73746f7279.json","interact_actor,repeat_policy,trigger_properties,triggers","2D18468E5ED257E0C711741BD1A7B6449AE7071FB4AC8A4F7DDB322DE6AC0D4F"
"E:\Java\MinecraftMod\DarkGrey_RPG\.tooling\0.3.3.0\fixtures\objective0324\kill_slimes-description-corrected.dgrs","resources/canonical/tasks/x477265794861745f/x4b696c6c536c696d6573.json","interact_actor","2D18468E5ED257E0C711741BD1A7B6449AE7071FB4AC8A4F7DDB322DE6AC0D4F"
